Country Name,2012,2013,2014,2015,2016,2017
Rwanda,7655138385,7819538349,8246166341,8545441361,8697268916,9253098954
South Asia,2.30E+12,2.36E+12,2.58E+12,2.70E+12,2.92E+12,3.35E+12
Saudi Arabia,7.36E+11,7.47E+11,7.56E+11,6.54E+11,6.45E+11,6.89E+11
Sudan,52766746152,57730380600,64941713057,74294508240,51772232495,45021077955
Senegal,17824398469,18965572150,19797254643,17774766636,19040312815,20996564752
Singapore,2.95E+11,3.08E+11,3.15E+11,3.08E+11,3.19E+11,3.42E+11
Solomon Islands,1190994127,1284698922,1335538893,1307061544,1378551118,1483758907
Sierra Leone,3801862611,4920343195,5015157816,4218723875,3674794530,3739577973
El Salvador,21386140000,21990970000,22593480000,23438240000,24191440000,24979200000
San Marino,1604779648,1678841812,1673973695,1419394771,1468377272,1528630707
Somalia,,,,,,
Serbia,43309252921,48394239475,47062206678,39655958843,40692643373,44179055280
Sub-Saharan Africa (excluding high income),1.62E+12,1.73E+12,1.79E+12,1.65E+12,1.53E+12,1.63E+12
South Sudan,11931472169,18426469017,13962212847,11997800760,,
Sub-Saharan Africa,1.64E+12,1.74E+12,1.81E+12,1.66E+12,1.54E+12,1.64E+12
Small states,4.95E+11,5.14E+11,5.31E+11,4.53E+11,4.45E+11,4.81E+11
Sao Tome and Principe,250680453.1,300553785,346527949.8,316065369.9,345495358.4,375614556.4
Suriname,4980000000,5145757576,5240606061,4787367928,3128953537,3216207914
Slovak Republic,94534730681,98848641555,1.01E+11,88467555244,89655253976,95494424979
Slovenia,46580457470,48401896808,49930685013,43090173395,44736333522,48586603448
Sweden,5.52E+11,5.87E+11,5.82E+11,5.05E+11,5.16E+11,5.41E+11
Eswatini,4886658806,4597702903,4422304975,4062660890,3816018485,4402973000
Sint Maarten (Dutch part),985865921.8,1022905028,1245251397,1253072626,1263687151,1191620112
Seychelles,1060226126,1328157609,1343007845,1377495054,1426651769,1524486800
Syrian Arab Republic,,,,,,
Turks and Caicos Islands,727161000,754238000,841070000,942070000,1032452000,1022365000
Chad,12367363678,12953535496,13940768066,10950392220,10097778354,10000395242
East Asia & Pacific (IDA & IBRD countries),1.07E+13,1.18E+13,1.27E+13,1.33E+13,1.35E+13,1.48E+13
Europe & Central Asia (IDA & IBRD countries),4.63E+12,4.91E+12,4.64E+12,3.62E+12,3.49E+12,3.91E+12
Togo,3873308389,4321655656,4574986537,4180866177,4486979198,4819949975
Thailand,3.98E+11,4.20E+11,4.07E+11,4.01E+11,4.13E+11,4.56E+11
Tajikistan,7633049792,8448469838,9112544556,7854602392,6952678127,7157865188
Turkmenistan,35164210526,39197543860,43524210526,35799714286,36180000000,37926285714
Latin America & the Caribbean (IDA & IBRD countries),5.94E+12,6.09E+12,6.21E+12,5.30E+12,5.16E+12,5.76E+12
Timor-Leste,1147779600,1395524600,1447311400,1594410800,1650608600,1599338100
Middle East & North Africa (IDA & IBRD countries),1.72E+12,1.61E+12,1.59E+12,1.43E+12,1.44E+12,1.42E+12
Tonga,470714083.4,450643615.2,439878828,437006227.2,420540178.6,460379145
South Asia (IDA & IBRD),2.30E+12,2.36E+12,2.58E+12,2.70E+12,2.92E+12,3.35E+12
Sub-Saharan Africa (IDA & IBRD countries),1.64E+12,1.74E+12,1.81E+12,1.66E+12,1.54E+12,1.64E+12
Trinidad and Tobago,25763220107,27268478565,27615843098,25062893969,22284780327,22474828527
Tunisia,45044112939,46251061734,47632326088,43173480832,41801210428,39802430355
Turkey,8.81E+11,9.58E+11,9.39E+11,8.64E+11,8.70E+11,8.59E+11
Tuvalu,37671774.69,37509075.11,37290607.54,35492074.22,36547799.58,40619251.99
Tanzania,39650530214,45680532614,49964788814,47378599025,49774021003,53320625959
Uganda,27188666947,28791625559,32472363452,32248116584,29078719934,30756466548
Ukraine,1.76E+11,1.83E+11,1.34E+11,91030959455,93355993629,1.12E+11
Upper middle income,2.08E+13,2.20E+13,2.27E+13,2.14E+13,2.13E+13,2.36E+13
Uruguay,51264390114,57531233351,57236013088,53274304222,52687612262,59530088537
United States,1.62E+13,1.68E+13,1.75E+13,1.82E+13,1.87E+13,1.95E+13
Uzbekistan,63628854499,68997168338,76658542757,81847410182,81779012351,59159945321
St. Vincent and the Grenadines,692933333.3,721207407.4,727714814.8,755400000,774429629.6,792177777.8
"Venezuela, RB",3.81E+11,3.71E+11,4.82E+11,,,
British Virgin Islands,,,,,,
Virgin Islands (U.S.),4095000000,3762000000,3622000000,3748000000,3863000000,3855000000
Vietnam,1.56E+11,1.71E+11,1.86E+11,1.93E+11,2.05E+11,2.24E+11
Vanuatu,781702874.1,801787555.9,814954307,759689950.9,804332795.6,880043553.7
World,7.52E+13,7.73E+13,7.95E+13,7.52E+13,7.64E+13,8.13E+13
Samoa,760549587.1,770021664,756919917.3,788307330.6,799376439.5,832153612.6
Kosovo,6499807272,7074777527,7396705195,6442915788,6719172017,7245707185
"Yemen, Rep.",35401341663,40415235702,43206469767,42450620876,30935978724,26736139802
South Africa,3.96E+11,3.67E+11,3.51E+11,3.18E+11,2.96E+11,3.50E+11
Zambia,25503060420,28045553105,27150728124,21243339048,20954754378,25868165345
Zimbabwe,17114849900,19091020000,19495519600,19963120600,20548678100,22040902300
